date, pm25, o3, no2, so2, co
2018/12/12, 78, 15, 16, , 2
2018/12/13, 54, 13, 15, , 2
2018/12/14, 65, 7, 19, 1, 5
2018/12/15, 89, 14, 16, , 4
2018/12/16, 45, 13, 13, , 3
2018/12/17, 32, 18, 12, , 2
2018/12/18, 34, 18, 12, 1, 2
2018/12/19, 17, 11, 18, 1, 3
2018/12/20, 51, 4, 24, 1, 5
2018/12/21, 54, 13, 11, , 3
2018/12/22, 22, 19, 4, , 2
2018/12/23, 5, 19, 9, , 2
2018/12/24, 37, 12, 11, , 2
2018/12/25, 39, 17, 8, , 2
2018/12/26, 16, 15, 11, 1, 2
2018/12/27, 46, 17, 10, , 2
2018/12/28, 13, 18, 9, , 2
2018/12/29, 30, 20, 7, , 2
2018/12/30, 10, 15, 12, 1, 2
2018/12/31, 39, , , , 
2018/7/2, 39, 45, 5, 1, 2
2018/7/3, 51, 33, 10, 1, 2
2018/7/4, 35, 36, 10, 1, 2
2018/7/5, 21, 42, 16, 1, 2
2018/7/6, 35, 27, 4, , 1
2018/7/7, 37, 28, 6, 1, 1
2018/7/8, 21, 40, 6, 3, 2
2018/7/9, 25, 58, 11, 2, 2
2018/7/10, 46, 39, 6, 1, 2
2018/7/11, 73, 30, 7, , 2
2018/7/12, 33, 28, 12, 1, 2
2018/7/13, 49, 37, 12, 3, 2
2018/7/14, 40, 44, 12, 1, 2
2018/7/15, 56, 46, 10, , 3
2018/7/16, 62, 45, 11, 1, 3
2018/7/17, 56, 21, 7, , 2
2018/7/18, 28, 35, 6, 1, 2
2018/7/19, 31, 47, 11, 1, 1
2018/7/20, 29, 45, 7, 1, 2
2018/7/21, 35, 40, 4, , 1
2018/7/22, 37, 33, 4, , 1
2018/7/23, 21, 29, 7, , 2
2018/7/24, 23, 31, 8, , 1
2018/7/25, 29, 35, 6, , 2
2018/7/26, 43, 38, 11, 1, 2
2018/7/27, 39, 30, 8, , 2
2018/7/28, 32, 24, 6, , 2
2018/7/29, 20, 33, 8, 1, 2
2018/7/30, 45, 37, 12, , 2
2018/7/31, 50, 34, 8, , 2
2018/8/1, 42, 33, 6, , 2
2018/8/2, 38, 41, 9, 1, 2
2018/8/3, 49, 37, 13, , 3
2018/8/4, 57, 54, 9, 1, 3
2018/8/5, 58, 47, 8, 1, 2
2018/8/6, 55, 42, 5, , 2
2018/8/7, 53, 45, 9, , 2
2018/8/8, 49, 37, 9, , 3
2018/8/9, 48, 36, 9, , 2
2018/8/10, 44, 21, 6, , 1
2018/8/11, 24, 24, 13, 1, 2
2018/8/12, 25, 29, 8, , 2
2018/8/13, 33, 31, 13, 1, 3
2018/8/14, 42, 37, 9, , 2
2018/8/15, 52, 41, 10, , 3
2018/8/16, 66, 44, 13, , 3
2018/8/17, 67, 26, 6, , 2
2018/8/18, 45, 26, 6, , 2
