date, pm25, o3, no2, so2, co
2018/10/8, 45, 5, 21, 1, 6
2018/10/9, 55, 15, 13, 1, 4
2018/10/10, 32, 9, 18, 2, 7
2018/10/11, 57, 7, 17, 1, 5
2018/10/12, 55, 12, 16, 1, 6
2018/10/13, 57, 20, 10, 1, 3
2018/10/14, 44, 18, 13, 1, 4
2018/10/15, 39, 9, 17, 1, 4
2018/10/16, 39, 6, 22, 1, 6
2018/10/17, 54, 7, 32, 2, 10
2018/10/18, 71, 14, 31, 2, 9
2018/10/19, 74, 10, 26, 2, 
2018/10/20, 88, 18, 14, 1, 3
2018/10/21, 69, 7, 17, 2, 7
2018/10/22, 77, 1, 23, 2, 8
2018/10/23, 83, 9, 20, 2, 6
2018/10/24, 67, 16, 25, 2, 6
2018/10/25, 57, 11, 22, 1, 5
2018/10/26, 46, 25, 17, 1, 3
2018/10/27, 39, 15, 16, 1, 4
2018/10/28, 46, 26, 11, 1, 3
2018/10/29, 24, 18, 20, 1, 4
2018/10/30, 35, 15, 21, 1, 5
2018/10/31, 48, 15, 20, 1, 5
2018/11/1, 43, 25, 16, 1, 3
2018/11/2, 35, 26, 19, 1, 4
2018/11/3, 36, 20, 13, 1, 3
2018/11/4, 35, , 11, 1, 3
2018/11/5, 34, 24, 25, 1, 5
2018/11/6, 38, 21, 19, 1, 4
2018/11/7, 28, 15, 14, , 4
2018/11/8, 27, 7, 18, 1, 6
2018/11/9, 46, 1, 18, 1, 7
2018/11/10, 52, 13, 14, 2, 5
2018/11/11, 49, 10, 10, 1, 4
2018/11/12, 34, 15, 28, 2, 9
2018/11/13, 56, 16, 25, 2, 6
2018/11/14, 52, 21, 28, 1, 6
2018/11/15, 68, 19, 21, 1, 5
2018/11/16, 44, 17, 13, 1, 3
2018/11/17, 24, 13, 10, 1, 3
2018/11/18, 23, 8, 18, 1, 5
2018/11/19, 46, 1, 25, 3, 11
2018/11/20, 69, 1, 26, 4, 14
2018/11/21, 85, 7, 31, 2, 8
2018/11/22, 57, 23, 12, 1, 3
2018/11/23, 24, 24, 13, 1, 3
2018/11/24, 15, 15, 19, 1, 5
2018/11/25, 37, 6, 18, 1, 7
2018/11/26, 43, 14, 20, 1, 5
2018/11/27, 36, 23, 18, 1, 3
2018/11/28, 22, 18, 21, 1, 4
2018/11/29, 26, 12, 16, 1, 4
2018/11/30, 31, 16, 19, 1, 5
2018/12/1, 34, , 20, 1, 5
2018/12/2, 27, , 16, 1, 5
2018/12/3, 49, 8, 10, 1, 3
2018/12/4, 25, 15, 16, 1, 3
2018/12/5, 30, 16, 17, 1, 4
2018/12/6, 29, 22, 27, 1, 6
2018/12/7, 42, 22, 25, 1, 6
2018/12/8, 39, 18, 21, 1, 6
2018/12/9, 45, 22, 13, 1, 4
2018/12/10, 29, 40, 19, 1, 4
2018/12/11, 30, 39, 19, 1, 4
2018/12/12, 23, 22, 20, 1, 4
2018/12/13, 30, 24, 25, 1, 6
2018/12/14, 30, 29, 25, 1, 7
2018/12/15, 39, 28, 13, 1, 3
2018/12/16, 15, 27, 15, 1, 4
2018/12/17, 20, 23, 17, 1, 3
2018/12/18, 15, 29, 21, 1, 3
2018/12/19, 22, 27, 26, 1, 5
2018/12/20, 34, 25, 17, 1, 3
2018/12/21, 21, 20, 22, 1, 5
2018/12/22, 38, 21, 20, 1, 5
2018/12/23, 31, 21, 12, 1, 3
2018/12/24, 15, 20, 10, 1, 3
2018/12/25, 18, 11, 13, 1, 4
2018/12/26, 33, 18, 14, 1, 4
2018/12/27, 24, 12, 22, 1, 6
2018/12/28, 39, 15, 16, 1, 4
2018/12/29, 32, 28, 9, 1, 2
2018/12/30, 15, 24, 13, 1, 3
2018/12/31, 23, , , , 
2018/7/2, 9, 24, 8, , 2
2018/7/3, 10, 24, 18, 1, 4
2018/7/4, 30, 21, 16, 2, 4
2018/7/5, 36, 32, 19, 1, 4
2018/7/6, 52, 16, 12, 1, 3
