date, pm25, pm10, o3, no2, co
2015/6/9, 34, , 24, 2, 
2015/6/10, 35, , 23, 5, 
2015/6/11, 27, , 23, 5, 
2015/6/12, 38, , 30, 6, 
2015/6/13, 36, , 27, 5, 
2015/6/14, 25, , 29, 7, 
2015/6/15, 24, , 27, 5, 
2015/6/16, 33, , 24, 3, 
2015/6/17, 26, , 22, 2, 
2015/6/18, 16, , 21, 4, 
2015/6/19, 9, , 25, 2, 
2015/6/20, 21, , 28, 1, 
2015/6/21, 21, , 33, , 
2015/6/22, 26, , 33, 7, 
2015/6/23, 36, , 27, 7, 
2015/6/24, 31, , 24, 6, 
2015/6/25, 23, , 23, 6, 
2015/6/26, 23, , 24, 5, 
2015/6/27, 30, , 23, 4, 
2015/6/28, 27, , 22, 4, 
2015/6/29, 23, , 25, 6, 
2015/6/30, 20, , 22, 5, 
2015/7/1, 27, , 18, 5, 
2015/1/2, 20, , 17, 4, 
2015/1/3, 30, , 25, 2, 
2015/1/4, 45, , 29, 2, 
2015/1/5, 41, , 52, 2, 
2015/1/6, 46, , 20, 1, 
2015/1/7, 56, , 25, 3, 
2015/1/8, 48, , 26, 1, 
2015/1/9, 33, , 23, 1, 
2015/1/10, 24, , 25, 2, 
2015/1/11, 27, , 33, 2, 
2015/1/12, 48, , 47, 3, 
2015/1/13, 46, , 44, 4, 
2015/1/14, 37, , 29, 2, 
2015/1/15, 39, , 24, 1, 
2015/1/16, 34, , 30, 2, 
2015/1/17, 30, , 34, 3, 
2015/1/18, 36, , 16, 1, 
2015/1/19, 44, , 14, , 
2015/1/20, 26, , 28, 3, 
2015/1/21, 26, , 18, 2, 
2015/1/22, 31, , 23, 3, 
2015/1/23, 46, , 27, 4, 
2015/1/24, 40, , 26, 2, 
2015/1/25, 35, , 26, 4, 
2015/1/26, 32, , 30, 2, 
2015/1/27, 31, , 47, 2, 
2015/1/28, 47, , 52, 2, 
2015/1/29, 51, , 28, 1, 
2015/1/30, 54, , 27, 4, 
2015/1/31, 44, , 26, 1, 
2015/2/1, 31, , 24, 1, 
2015/2/2, 33, , 29, 3, 
2015/2/3, 41, , 37, 5, 
2015/2/4, 22, , 33, 1, 
2015/2/5, 28, , 25, 2, 
2015/2/6, 33, , 32, 3, 
2015/2/7, 80, , 31, 2, 
2015/2/8, 69, , 13, 1, 
2015/2/9, 64, , 30, , 
2015/2/10, 67, , 52, 2, 
2015/2/11, 91, , 37, 1, 
2015/2/12, 59, , 35, 2, 
2015/2/13, 54, , 20, 2, 
2015/2/14, 55, , 20, 4, 
2015/2/15, 28, , 29, 2, 
