State,County,CS,GoodDays,ModerateDays,UnhealthyForSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,AQI_Class_KMR,AQI_Class_KMN
Kentucky,Carter,CarterKentucky,0.923202816776527,0.0762144326407223,0.000582750582750583,0,0,0,1,1
Kentucky,Christian,ChristianKentucky,0.860669330570896,0.139330669429104,0,0,0,0,1,1
Kentucky,Daviess,DaviessKentucky,0.714259309071795,0.282535352236215,0.00274996528579704,0.000455373406193078,0,0,2,1
Kentucky,Edmonson,EdmonsonKentucky,0.849470725947728,0.150529274052272,0,0,0,0,1,1
Kentucky,Fayette,FayetteKentucky,0.803788331172347,0.193928563804822,0.00228310502283105,0,0,0,2,1
Kentucky,Greenup,GreenupKentucky,0.955033322536266,0.0445037145007709,0.000462962962962963,0,0,0,1,1
Kentucky,Hardin,HardinKentucky,0.736861998724432,0.262223504813126,0.000914496462441668,0,0,0,2,1
Kentucky,Henderson,HendersonKentucky,0.714628245585925,0.268913230461114,0.0164585239529608,0,0,0,2,2
Kentucky,Jefferson,JeffersonKentucky,0.55041420265988,0.418097662000649,0.027836414901315,0.00365172043815655,0,0,3,3
Kentucky,Jessamine,JessamineKentucky,0.91522641036711,0.0838615952221305,0.000911994410759288,0,0,0,1,1
Kentucky,Livingston,LivingstonKentucky,0.880193789244989,0.118524159472959,0.00128205128205128,0,0,0,1,1
Kentucky,McCracken,McCrackenKentucky,0.720939427910669,0.276778714664873,0.00228185742445792,0,0,0,2,1
Kentucky,Morgan,MorganKentucky,0.930205373617708,0.0688813843731593,0.00091324200913242,0,0,0,1,1
Kentucky,Oldham,OldhamKentucky,0.856497501433497,0.135179325093967,0.00832317347253587,0,0,0,1,2
Kentucky,Perry,PerryKentucky,0.822108555819447,0.176944474483583,0.000473484848484849,0.000473484848484849,0,0,1,1
Kentucky,Pike,PikeKentucky,0.822899507999202,0.175277750777653,0.00182274122314544,0,0,0,1,1
Kentucky,Pulaski,PulaskiKentucky,0.882942526424521,0.117057473575479,0,0,0,0,1,1
Kentucky,Simpson,SimpsonKentucky,0.891638235887417,0.106874611005059,0.00148715310752348,0,0,0,1,1
Kentucky,Trigg,TriggKentucky,0.919899451896629,0.0796202407066376,0.00048030739673391,0,0,0,1,1
Kentucky,Warren,WarrenKentucky,0.816959463649918,0.183040536350082,0,0,0,0,2,1
